Rank,Task,Model,Params,Preprocess,Deriv,Window,Poly,LVs,n_vars,full_vars,SubsetTag,RMSE,R2,CompositeScore,top_vars
1,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",raw,,,,,100,500,top100,14.54152603827571,0.5177018514269159,-0.9814167789536548,N/A
2,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,100,500,top100,15.532253905741447,0.439813693943268,-0.899805891951398,N/A
3,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,100,500,top100,15.715214920203406,0.44280256663249357,-0.8904779028973895,N/A
4,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",raw,,,,,100,500,top100,16.37123380621252,0.3529509634713268,-0.8237842219660676,N/A
5,regression,PLS,{'n_components': 6},raw,,,,6,100,500,top100,17.387618939865096,0.31576187140545275,-0.7301816378214926,N/A
6,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,50,500,top50,18.26753428945571,0.24963076949982319,-0.6967167170761774,N/A
7,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",raw,,,,,50,500,top50,18.352139980544973,0.2487896350783035,-0.6916682217940475,N/A
8,regression,PLS,{'n_components': 4},raw,,,,4,100,500,top100,17.933312097109333,0.2652239172826711,-0.6907055304437408,N/A
9,regression,PLS,{'n_components': 6},snv,,,,6,100,500,top100,18.073620742740342,0.2597245464163574,-0.6729762755555188,N/A
10,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,50,500,top50,18.879808356499904,0.20636450851647944,-0.6478904980707292,N/A
11,regression,PLS,{'n_components': 2},raw,,,,2,50,500,top50,19.184848808366088,0.17622177636181435,-0.6127259744422832,N/A
12,regression,PLS,{'n_components': 4},raw,,,,4,50,500,top50,19.087536153353412,0.18290847525516976,-0.6124234637270134,N/A
13,regression,PLS,{'n_components': 2},deriv,1,7,2,2,50,500,top50,19.240696161069767,0.17433825772910835,-0.6089543848761082,N/A
14,regression,PLS,{'n_components': 4},deriv,1,7,2,4,50,500,top50,19.24153668538273,0.17231288528457345,-0.6002374117324175,N/A
15,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,50,500,top50,19.472585886253736,0.15706592498875702,-0.5981693102743506,N/A
16,regression,PLS,{'n_components': 2},raw,,,,2,100,500,top100,19.21153928824959,0.17272736630357652,-0.596054758186119,N/A
17,regression,PLS,{'n_components': 2},deriv,1,7,2,2,100,500,top100,19.302600396012846,0.1670665477851285,-0.5890489094158605,N/A
18,regression,PLS,{'n_components': 4},snv,,,,4,100,500,top100,19.265466505154325,0.16238170817219963,-0.5815938807095629,N/A
19,regression,PLS,{'n_components': 4},deriv,1,7,2,4,500,500,full,18.901016727781826,0.20194910594218765,-0.581192336581695,N/A
20,regression,PLS,{'n_components': 2},snv_deriv,1,7,2,2,100,500,top100,19.47242956334201,0.15531445777203748,-0.57558803862462,N/A
21,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,50,500,top50,19.769428835706545,0.13716378371275376,-0.5748524985785395,N/A
22,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,100,500,top100,19.640266953852112,0.14058313115681945,-0.569254547470665,N/A
23,regression,PLS,{'n_components': 2},snv_deriv,1,7,2,2,50,500,top50,19.73228812756239,0.13566465550168025,-0.5684510390793537,N/A
24,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,100,500,top100,19.43898187636016,0.09895682178372027,-0.5668423244056555,N/A
25,regression,PLS,{'n_components': 2},deriv,1,7,2,2,500,500,full,19.15675279311805,0.17664053540373836,-0.5664059550300482,N/A
26,regression,PLS,{'n_components': 2},raw,,,,2,500,500,full,19.204564362787163,0.17281889032695488,-0.5624467185045959,N/A
27,regression,PLS,{'n_components': 2},snv,,,,2,100,500,top100,19.678299666029897,0.13947894479999023,-0.5587450655828834,N/A
28,regression,PLS,{'n_components': 4},snv_deriv,1,7,2,4,500,500,full,19.156250667081,0.1756834642423437,-0.5581178626651194,N/A
29,regression,PLS,{'n_components': 6},snv_deriv,1,7,2,6,500,500,full,19.06347194091894,0.18048423048662565,-0.556936227661445,N/A
30,regression,PLS,{'n_components': 4},raw,,,,4,500,500,full,19.176321452945242,0.17548328138876124,-0.5569200089012415,N/A
31,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,100,500,top100,19.870472932210248,0.12019289255165096,-0.5495336409361553,N/A
32,regression,PLS,{'n_components': 4},snv_deriv,1,7,2,4,50,500,top50,19.94650390457976,0.12177962303866001,-0.543782324252106,N/A
33,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,100,500,top100,19.86448174679981,0.09672736105796424,-0.542113827812873,N/A
34,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,500,500,full,19.582064442530896,0.14301727457322175,-0.5393093928415217,N/A
35,regression,PLS,{'n_components': 2},snv_deriv,1,7,2,2,500,500,full,19.488231450067076,0.15003971223942292,-0.5389216783814169,N/A
36,regression,PLS,{'n_components': 2},snv,,,,2,500,500,full,19.500297117174508,0.15012619098239285,-0.5382699556657194,N/A
37,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",raw,,,,,50,500,top50,20.235862186663567,0.09751661140998562,-0.5354458409235234,N/A
38,regression,PLS,{'n_components': 6},deriv,1,7,2,6,500,500,full,19.344948686950854,0.15849445313557256,-0.5337956611150408,N/A
39,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv,,,,,500,500,full,19.68911636813388,0.140040736853265,-0.5322893291904535,N/A
40,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,500,500,full,19.689795820209184,0.13735127267927028,-0.5313618916108215,N/A
41,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,500,500,full,19.704416812004776,0.1292032935520614,-0.5278438067219257,N/A
42,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'tanh'}",deriv,1,7,2,,50,500,top50,20.421497290373406,0.07519881380207398,-0.5176007807574017,N/A
43,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,100,500,top100,20.222346894656056,0.07491274274891908,-0.514724073775755,N/A
44,regression,PLS,{'n_components': 6},snv,,,,6,500,500,full,19.58851535794244,0.13635397414109854,-0.5127428001722772,N/A
45,regression,PLS,{'n_components': 4},snv_deriv,1,7,2,4,100,500,top100,20.152482754507083,0.08862863343844922,-0.5071977278410451,N/A
46,regression,PLS,{'n_components': 6},raw,,,,6,500,500,full,19.650844669685924,0.12641585706330682,-0.5059429094107012,N/A
47,regression,PLS,{'n_components': 4},snv,,,,4,500,500,full,19.77154911280118,0.11984577494203985,-0.5049650473281645,N/A
48,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,500,500,full,19.98405706186384,0.10538737729149443,-0.5042030744289173,N/A
49,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv,,,,,500,500,full,19.982109599214926,0.10225263253125094,-0.5032765450076728,N/A
50,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",deriv,1,7,2,,50,500,top50,20.57288132527924,0.05766587498929961,-0.5032687949371459,N/A
51,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",raw,,,,,500,500,full,20.00605107920137,0.10481831522219683,-0.5027748307575651,N/A
52,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,100,500,top100,20.39963548254887,0.0687359818571545,-0.502685793871495,N/A
53,regression,PLS,{'n_components': 8},snv_deriv,1,7,2,8,500,500,full,19.629404135937342,0.12355532338264219,-0.49820613326971996,N/A
54,regression,PLS,{'n_components': 8},snv,,,,8,100,500,top100,20.123017890264546,0.08685559177935964,-0.4922729176660633,N/A
55,regression,PLS,{'n_components': 8},deriv,1,7,2,8,500,500,full,19.741625039274393,0.11408130297691739,-0.4887465766597745,N/A
56,regression,PLS,{'n_components': 8},raw,,,,8,500,500,full,19.757474291421335,0.11489317169038597,-0.4881213310859339,N/A
57,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv,,,,,100,500,top100,20.568979613098183,0.04837872334397023,-0.4864074334665201,N/A
58,regression,PLS,{'n_components': 4},deriv,1,7,2,4,100,500,top100,20.448021481621257,0.06792227389576273,-0.4836885819130306,N/A
59,regression,PLS,{'n_components': 6},deriv,1,7,2,6,50,500,top50,20.486053181980846,0.053992870507606816,-0.4829502430673644,N/A
60,regression,PLS,{'n_components': 10},raw,,,,10,500,500,full,19.75997124783246,0.11484595081662115,-0.4799649312903941,N/A
