File Number,Sample no.,%Collagen,CollagenCat
Spectrum 00001,A-53,6.4,Medium
Spectrum 00002,A-83,7.9,High
Spectrum 00003,A-31,0.9,Low
Spectrum 00004,G-21,16.1,High
Spectrum 00005,F-35,7.1,High
Spectrum 00006,G-59,3.5,Medium
Spectrum 00007,A-110,9.4,High
Spectrum 00008,G-20,12,High
Spectrum 00009,F-92,11.8,High
Spectrum 00010,A-58,1.3,Low
Spectrum 00011,H-112,1.5,Low
Spectrum 00012,G-43,0.9,Low
Spectrum 00013,H-46,10.7,High
Spectrum 00014,A-60,2.4,Low
Spectrum 00015,C-18,9.9,High
Spectrum 00016,I-48,1.7,Low
Spectrum 00017,F-18,1,Low
Spectrum 00018,G-8,19.6,High
Spectrum 00019,A-45,6.1,Medium
Spectrum 00020,F-42,6.9,Medium
Spectrum 00021,F-32,2.2,Low
Spectrum 00022,A-13,4.2,Medium
Spectrum 00023,H-104,22.1,High
Spectrum 00025,I-25,15.9,High
Spectrum 00026,F-5,4.2,Medium
Spectrum 00027,F-71,17.8,High
Spectrum 00028,A-63,9.7,High
Spectrum 00029,H-80,8.9,High
Spectrum 00030,G-46,19.2,High
Spectrum 00031,H-95,19.2,High
Spectrum 00032,H-78,15.6,High
Spectrum 00033,A-56,6,Medium
Spectrum 00034,F-3,4.2,Medium
Spectrum 00035,J-3,17.8,High
Spectrum 00036,F-28,5.9,Medium
Spectrum 00037,J-2,14.1,High
Spectrum 00038,F-63,1.1,Low
Spectrum 00039,F-55,5.8,Medium
Spectrum 00040,F-22,5.1,Medium
Spectrum 00041,H-90,21.5,High
Spectrum 00042,H-9,21.4,High
Spectrum 00043,H-105,4.8,Medium
Spectrum 00044,A-18,4.4,Medium
Spectrum 00045,H-13,18.4,High
Spectrum 00046,I-2,2.9,Low
Spectrum 00047,H-101,20.4,High
Spectrum 00048,F-76,21.7,High
Spectrum 00049,A-47,5.9,Medium
Spectrum 00050,A-52,6.7,Medium
